Agency Name,Website
Department of Energy’s Office of Science,https://www.energy.gov/science/office-science
Department of Health and Human Services        (HHS),https://www.hhs.gov/
Department of Homeland Security        (DHS),https://www.dhs.gov/
Department of Housing and Urban Development        (HUD),https://www.hud.gov/
Department of Justice        (DOJ),https://www.justice.gov/
Department of Labor        (DOL),https://www.dol.gov/
Department of State        (DOS),https://www.state.gov/
Department of the Interior        (DOI),https://www.doi.gov/
Department of the Treasury,https://home.treasury.gov/
Department of Transportation        (DOT),https://www.transportation.gov
Department of Veterans Affairs        (VA),https://www.va.gov/
"Director of National Intelligence, Office of        (ODNI)",https://www.dni.gov/
"Disability Employment Policy, Office of        (ODEP)",https://www.dol.gov/agencies/odep
Drug Enforcement Administration        (DEA),https://www.dea.gov/
"Economic Analysis, Bureau of        (BEA)",https://www.bea.gov/
Economic Development Administration        (EDA),https://www.eda.gov/
"Economic Growth, Energy, and the Environment",https://www.state.gov/bureaus-offices/under-secretary-for-economic-growth-energy-and-the-environment/
Economic Research Service        (ERS),https://www.ers.usda.gov/
Education Department        (ED),https://www.ed.gov/
Elder Justice Initiative        (EJI),https://www.justice.gov/elderjustice
Election Assistance Commission        (EAC),http://www.eac.gov/
"Elementary and Secondary Education, Office of        (OESE)",https://oese.ed.gov/
Employee Benefits Security Administration        (EBSA),https://www.dol.gov/agencies/ebsa
Employment and Training Administration        (ETA),https://www.doleta.gov/
Energy Department        (DOE),https://www.energy.gov/
Energy Information Administration        (EIA),https://www.eia.gov/
"Engraving and Printing, Bureau of        (BEP)",https://www.moneyfactory.gov/
"Environmental Management, Office of",https://www.energy.gov/em/office-environmental-management
Environmental Protection Agency        (EPA),https://www.epa.gov/
Equal Employment Opportunity Commission        (EEOC),https://www.eeoc.gov/
European Command        (USEUCOM),https://www.eucom.mil
Executive Office for Immigration Review        (EOIR),https://www.justice.gov/eoir
Export-Import Bank of the United States        (EXIM),https://www.exim.gov
Fair Housing and Equal Opportunity        (FHEO),https://www.hud.gov/program_offices/fair_housing_equal_opp
Fannie Mae,https://www.fanniemae.com/
Farm Credit Administration        (FCA),https://www.fca.gov/
Farm Credit System Insurance Corporation        (FCSIC),https://www.fcsic.gov/
Farm Service Agency        (FSA),https://www.fsa.usda.gov/
Federal Accounting Standards Advisory Board        (FASAB),http://www.fasab.gov/
Federal Aviation Administration        (FAA),https://www.faa.gov/
Federal Bureau of Investigation        (FBI),https://www.fbi.gov
Federal Bureau of Prisons        (FBOP),https://www.bop.gov/
Federal Committee on Statistical Methodology        (FCSM),https://www.fcsm.gov/
Federal Communications Commission        (FCC),https://www.fcc.gov/
Federal Consulting Group        (FCG),https://www.doi.gov/node/43636/
Federal Deposit Insurance Corporation        (FDIC),https://www.fdic.gov/
Federal Election Commission        (FEC),https://www.fec.gov/
Federal Emergency Management Agency        (FEMA),https://www.fema.gov/
Federal Energy Regulatory Commission        (FERC),https://www.ferc.gov/
Federal Executive Boards        (FEBs),https://www.feb.gov/
Federal Financial Institutions Examination Council        (FFIEC),http://www.ffiec.gov/
Federal Financing Bank        (FFB),http://www.treas.gov/ffb/
Federal Geographic Data Committee        (FGDC),http://www.fgdc.gov/
Federal Highway Administration        (FHWA),https://highways.dot.gov/
Federal Housing Administration        (FHA),https://www.hud.gov/federal_housing_administration
Federal Housing Finance Agency        (FHFA),https://www.fhfa.gov/
Federal Judicial Center,https://www.fjc.gov/
Federal Labor Relations Authority        (FLRA),http://www.flra.gov
Federal Laboratory Consortium for Technology Transfer        (FLC),https://federallabs.org/
Federal Law Enforcement Training Centers        (FLETC),https://www.fletc.gov/
Federal Library and Information Network         (FEDLINK),https://www.loc.gov/flicc/
Federal Maritime Commission        (FMC),https://www.fmc.gov/
Federal Mediation and Conciliation Service        (FMCS),http://www.fmcs.gov/
Federal Mine Safety and Health Review Commission,https://www.fmshrc.gov/
Federal Motor Carrier Safety Administration        (FMCSA),https://www.fmcsa.dot.gov/
Federal Protective Service        (FPS),https://www.dhs.gov/topic/federal-protective-service
Federal Railroad Administration        (FRA),https://railroads.dot.gov/
Federal Register        (OFR),https://www.archives.gov/federal-register
Federal Reserve System,https://www.federalreserve.gov/
Federal Retirement Thrift Investment Board        (FRTIB),https://www.frtib.gov/
Federal Student Aid Information Center,https://studentaid.gov/
Federal Trade Commission        (FTC),https://www.ftc.gov/
Federal Transit Administration        (FTA),https://www.transit.dot.gov/
Federal Voting Assistance Program,https://www.fvap.gov/
FedStats        (FCSM),https://www.fcsm.gov/
Fire Administration        (USFA),https://www.usfa.fema.gov/
"Fiscal Service, Bureau of the",http://www.fiscal.treasury.gov
Fish and Wildlife Service        (FWS),https://www.fws.gov/
Fleet Forces Command        (USFFC),https://www.usff.navy.mil/
"Food and Agriculture, National Institute of        (NIFA)",http://www.nifa.usda.gov
Food and Drug Administration        (FDA),https://www.fda.gov/
Food and Nutrition Service        (FNS),https://www.fns.usda.gov/
Food Safety and Inspection Service        (FSIS),https://www.fsis.usda.gov/
Foreign Agricultural Service        (FAS),https://www.fas.usda.gov/
Foreign Claims Settlement Commission        (FCSC),https://www.justice.gov/fcsc
Forest Service,https://www.fs.usda.gov/
Fossil Energy        (FECM),https://www.energy.gov/fe/office-fossil-energy
Freddie Mac,http://www.freddiemac.com
Fulbright Program,https://eca.state.gov/fulbright
General Services Administration        (GSA),https://www.gsa.gov/
Geological Survey        (USGS),https://www.usgs.gov/
Ginnie Mae,https://www.ginniemae.gov/pages/default.aspx
"Global Media, Agency for",https://www.usagm.gov/
Government Accountability Office        (GAO),https://www.gao.gov/
"Government Ethics, Office of        (OGE)",https://www.oge.gov/
Government Publishing Office        (GPO),https://www.gpo.gov/
Harry S. Truman Scholarship Foundation,http://www.truman.gov/
Health and Human Services Department        (HHS),https://www.hhs.gov/
Health Resources and Services Administration        (HRSA),https://www.hrsa.gov/
Helsinki Commission,https://www.csce.gov
Holocaust Memorial Museum,https://www.ushmm.org/
Homeland Security Department        (DHS),https://www.dhs.gov/
Hour and Wage Division        (WHD),https://www.dol.gov/agencies/whd
House of Representatives,http://www.house.gov/
